id_question,enunciate,id_correct_item,id_concept
21,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p> <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>Qual dos caminhos 1-5 abaixo melhor representa o caminho da nave espacial entre os pontos Q e R? </p> <img src=""../figs/q_21.jpeg"" alt=""description"">",21E,C3
22,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p>  <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p> Conforme a nave espacial se move do ponto Q para o ponto R, sua velocidade: </p> ",22B,C4
23,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p> <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>No ponto R, o motor da nave espacial é desligado e o impulso imediatamente cai para zero. Qual dos caminhos 1-5 a nave espacial seguirá além do ponto R?</p> <img src=""../figs/q_23.jpeg"" alt=""description"">",23B,PL2
24,"<img src=""../figs/q_21_24.jpeg"" alt=""description""> <p> Uma nave espacial deriva lateralmente no espaço sideral do ponto P ao ponto Q, como mostrado abaixo.</p> <p>A nave espacial não está sujeita a forças externas.</p> <p> Começando na posição Q, o motor da nave espacial é ligado e produz um impulso constante (força na nave espacial) perpendicular à linha PQ. </p>  <p> O impulso constante é mantido até que a nave espacial alcance um ponto R no espaço. </p> <p>Além da posição R, a velocidade da nave espacial :</p>",24A,PL3
25,"<p>Uma mulher exerce uma força horizontal constante em uma grande caixa. Como resultado, a caixa se move em um piso horizontal com uma velocidade constante v0. A força horizontal constante aplicada pela mulher</p>",25C,PL4
26,"<p>Se a mulher da pergunta anterior dobrar a força horizontal constante que ela exerce sobre a caixa para empurrá-la no mesmo piso horizontal, a caixa então se move</p>",26E,SL2 
27,"<p>Se a mulher da pergunta 25 parar subitamente de aplicar uma força horizontal à caixa, então a caixa</p>",27C,TF3
28,"<img src=""../figs/q_28.jpeg"" alt=""description""> <p> Na figura a seguir, o estudante A tem uma massa de 75 kg e o estudante B tem uma massa de 57 kg. Eles estão sentados em cadeiras de escritório idênticas, de frente um para o outro. O estudante A colocou seus pés descalços nos joelhos do estudante B, como mostrado. </p> <p> O estudante A então de repente empurra para fora com os pés, fazendo com que ambas as cadeiras se movam. Durante o empurrão e enquanto os estudantes ainda estão tocando um ao outro, </p>",28E,TL1
29,"<p>Uma cadeira de escritório vazia está em repouso no chão. Considere as seguintes forças:</p> <ul> <li> A. uma força descendente da gravidade.</li> <li> B. uma força ascendente exercida pelo chão.</li> <li> C. uma força líquida descendente exercida pelo ar.</li> </ul> <p> Quais das forças estão agindo na cadeira de escritório? </p>",29B,TF1
30,"<p>Apesar de um vento muito forte, uma jogadora de tênis consegue bater em uma bola de tênis com sua raquete de forma que a bola passe sobre a rede e caia na quadra de sua adversária.</p> <p>Considere as seguintes forças:</p> <ul> <li>A. uma força descendente da gravidade.</li> <li>B. uma força pelo ""golpe"".</li> <li>C. uma força exercida pelo ar.</li> </ul>",30C,TF4
